Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Population Type,location,urbanRural,accommodationType,Female 0-4,Female 5-11,Female 12-17,Female 18-59,Female 60 or more,Female Unknown,Female Total,Male 0-4,Male 5-11,Male 12-17,Male 18-59,Male 60 or more,Male Unknown,Male Total,Total
2001,IRQ,AFG,Iraq,Afghanistan,REF,Kabul,R,U,0,5,0,0,0,0,5,0,0,0,0,0,0,0,5
2001,IRQ,ALB,Iraq,Albania,REF,Tirana,C,U,0,0,0,0,0,0,0,0,0,0,7,0,0,7,7
2001,IRQ,DZA,Iraq,Algeria,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
2001,IRQ,EGY,Iraq,Egypt,ASY,Cairo,U,U,0,0,0,0,0,13,13,0,0,0,0,0,31,31,44
2001,IRQ,EGY,Iraq,Egypt,REF,Cairo,U,U,0,0,6,10,0,0,16,0,5,0,15,0,0,20,36
2001,IRQ,ARG,Iraq,Argentina,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2001,IRQ,ARM,Iraq,Armenia,REF,Yerevan,U,U,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2001,IRQ,AUS,Iraq,Australia,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,885
2001,IRQ,AUS,Iraq,Australia,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10504
2001,IRQ,AUT,Iraq,Austria,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1769
2001,IRQ,AZE,Iraq,Azerbaijan,ASY,Baku,U,U,5,0,0,12,0,0,17,5,0,0,19,0,0,24,41
2001,IRQ,AZE,Iraq,Azerbaijan,REF,Baku,U,U,0,0,5,0,0,0,5,0,5,0,20,0,0,25,30
2001,IRQ,BEL,Iraq,Belgium,REF,Dispersed in the country / territory,R,U,0,0,0,0,0,78,78,0,0,0,0,0,150,150,228
2001,IRQ,BEN,Iraq,Benin,REF,Cotonou,U,U,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2001,IRQ,BLR,Iraq,Belarus,ASY,Minsk,U,U,0,7,0,0,0,0,7,0,0,0,0,0,0,0,7
2001,IRQ,BRA,Iraq,Brazil,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2001,IRQ,BRA,Iraq,Brazil,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
2001,IRQ,BIH,Iraq,Bosnia and Herzegovina,REF,Dispersed in the country / territory,C,U,0,0,9,0,0,0,9,0,0,0,0,0,0,0,9
2001,IRQ,BGR,Iraq,Bulgaria,ASY,Dispersed in the country / territory,U,U,0,20,17,55,0,0,92,0,20,17,392,0,0,429,521
2001,IRQ,BGR,Iraq,Bulgaria,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508
2001,IRQ,KHM,Iraq,Cambodia,REF,Phnom Penh,U,U,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5
2001,IRQ,CAN,Iraq,Canada,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436
2001,IRQ,CAN,Iraq,Canada,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6001
2001,IRQ,CHL,Iraq,Chile,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
2001,IRQ,COL,Iraq,Colombia,ASY,Bogota,U,U,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5
2001,IRQ,CUB,Iraq,Cuba,REF,Havana,U,U,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2001,IRQ,CYP,Iraq,Cyprus,ASY,Dispersed in the country / territory,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
2001,IRQ,CYP,Iraq,Cyprus,REF,Dispersed in the country / territory,U,U,0,0,0,0,0,0,0,0,0,0,7,0,0,7,7
2001,IRQ,CZE,Iraq,Czechia,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111
2001,IRQ,CZE,Iraq,Czechia,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
2001,IRQ,DNK,Iraq,Denmark,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1271
2001,IRQ,DNK,Iraq,Denmark,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12567
